2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16043,"state":"CANDIDATE","term":88,"voteFor":"192.168.0.103:8848"}, term: 88

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16774,"state":"CANDIDATE","term":89,"voteFor":"192.168.0.103:8848"}, term: 89

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":19260,"state":"CANDIDATE","term":90,"voteFor":"192.168.0.103:8848"}, term: 90

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16036,"state":"CANDIDATE","term":91,"voteFor":"192.168.0.103:8848"}, term: 91

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16536,"state":"CANDIDATE","term":92,"voteFor":"192.168.0.103:8848"}, term: 92

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":17945,"state":"CANDIDATE","term":93,"voteFor":"192.168.0.103:8848"}, term: 93

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":18809,"state":"CANDIDATE","term":94,"voteFor":"192.168.0.103:8848"}, term: 94

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16791,"state":"CANDIDATE","term":95,"voteFor":"192.168.0.103:8848"}, term: 95

2022-05-03 00:01:26,608 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.0.103:8848","leaderDueMs":16542,"state":"CANDIDATE","term":96,"voteFor":"192.168.0.103:8848"}, term: 96

